nohup: 忽略输入
2025-01-12 12:26:46.975748: I tensorflow/core/util/port.cc:110] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-12 12:26:47.027855: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-01-12 12:26:47.836925: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Namespace(add_num_times=2, alpha=0.4, anneal_cap=0.2, bert_mask_prob=0.3, best_metric='NDCG@10', block_num=2, cand_num=100, ch=True, context_window=2, dataset_path='data/KuaiRand/kuai.csv', decay_step=5, device='cpu', dilations=[1, 4], dropout=0.3, early_stop=True, embedding_size=32, epochs=100, eval=True, factor_num=128, gamma=0.5, hidden_size=128, hidden_size_list=[128, 128], init_method='default', is_mp=False, is_parallel=False, is_pretrain=1, item_min=10, k=20, kd=False, kernel_size=3, l2_emb=0.0, latent_dim=128, lifelong_eval=True, ll_max_itemnum=0, local_rank=None, loss_type='BPR', lr=0.0001, max_len=20, mess_dropout=0.1, metric_ks=[5, 20], model_name='ple', mtl_task_num=6, negsample_savefolder='./data/neg_data/', negsample_size=99, node_dropout=0.1, num_embedding=1, num_gpu=1, num_groups=4, num_heads=4, num_items=1, num_labels=1, num_ng=4, num_users=1, optimizer='default', pad_token=0, pretrain_path='', prun_rate=0, re_epochs=20, reg_1=0.0, reg_2=0.0, rho=0.5, sample='random', sample_method='high-pop', sample_ratio=0.3, save_path='./checkpoint/', seed=100, source_path='', target_path='', task=-1, task1_out=0, task2_out=0, task3_out=0, task4_out=0, task_name='mtl', task_num=4, temp=7, test_batch_size=4096, test_method='ufo', test_size=0.1, total_anneal_steps=1000, train_batch_size=4096, user_profile='gender', val_batch_size=4096, val_method='ufo', val_size=0.1111, valid_rate=100, weight_decay=0.0)
digit_columns: ['show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  5.98it/s] 50%|█████     | 2/4 [00:00<00:00,  6.27it/s] 75%|███████▌  | 3/4 [00:00<00:00,  6.37it/s]100%|██████████| 4/4 [00:00<00:00,  6.45it/s]100%|██████████| 4/4 [00:00<00:00,  6.37it/s]
categorical_columns: ['user_id', 'video_id', 'follow_user_num_range', 'tab', 'fans_user_num_range', 'friend_user_num_range', 'author_id', 'video_type', 'music_type', 'show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/13 [00:00<?, ?it/s] 15%|█▌        | 2/13 [00:00<00:01,  9.58it/s] 23%|██▎       | 3/13 [00:00<00:01,  6.58it/s] 38%|███▊      | 5/13 [00:00<00:01,  7.47it/s] 46%|████▌     | 6/13 [00:00<00:01,  6.75it/s] 54%|█████▍    | 7/13 [00:01<00:00,  6.57it/s] 62%|██████▏   | 8/13 [00:01<00:00,  6.23it/s] 77%|███████▋  | 10/13 [00:01<00:00,  8.54it/s] 92%|█████████▏| 12/13 [00:01<00:00, 10.24it/s]100%|██████████| 13/13 [00:01<00:00,  8.53it/s]
0it [00:00, ?it/s]19it [00:00, 195.69it/s]
Epoch 1 train loss is 4.034, total scene, click auc is 0.621, like auc is 0.512, follow auc is 0.491, 5s auc is 0.637, 10s auc is 0.618, 18s auc is 0.606
Epoch 5 val loss is 2.478, scene 3, click auc is 0.640, like auc is 0.669, follow auc is 0.696, 5s auc is 0.633, 10s auc is 0.648, 18s auc is 0.670
Epoch 5 val loss is 2.478, scene 4, click auc is 0.601, like auc is 0.649, follow auc is 0.491, 5s auc is 0.594, 10s auc is 0.605, 18s auc is 0.605
Epoch 6 train loss is 2.468, total scene, click auc is 0.696, like auc is 0.697, follow auc is 0.714, 5s auc is 0.704, 10s auc is 0.703, 18s auc is 0.714
Epoch 6 val loss is 2.469, total scene, click auc is 0.695, like auc is 0.697, follow auc is 0.750, 5s auc is 0.702, 10s auc is 0.700, 18s auc is 0.711
Epoch 6 val loss is 2.468, scene 1, click auc is 0.535, like auc is 0.621, follow auc is 0.363, 5s auc is 0.540, 10s auc is 0.545, 18s auc is 0.572
Epoch 6 val loss is 2.468, scene 2, click auc is 0.623, like auc is 0.671, follow auc is 0.735, 5s auc is 0.613, 10s auc is 0.632, 18s auc is 0.656
Epoch 6 val loss is 2.468, scene 3, click auc is 0.650, like auc is 0.678, follow auc is 0.720, 5s auc is 0.647, 10s auc is 0.661, 18s auc is 0.677
Epoch 6 val loss is 2.468, scene 4, click auc is 0.608, like auc is 0.660, follow auc is 0.536, 5s auc is 0.602, 10s auc is 0.613, 18s auc is 0.613
Epoch 7 train loss is 2.457, total scene, click auc is 0.702, like auc is 0.705, follow auc is 0.736, 5s auc is 0.709, 10s auc is 0.708, 18s auc is 0.720
Epoch 7 val loss is 2.462, total scene, click auc is 0.699, like auc is 0.704, follow auc is 0.763, 5s auc is 0.706, 10s auc is 0.705, 18s auc is 0.717
Epoch 7 val loss is 2.457, scene 1, click auc is 0.541, like auc is 0.629, follow auc is 0.368, 5s auc is 0.544, 10s auc is 0.553, 18s auc is 0.579
Epoch 7 val loss is 2.457, scene 2, click auc is 0.628, like auc is 0.679, follow auc is 0.753, 5s auc is 0.617, 10s auc is 0.637, 18s auc is 0.664
Epoch 7 val loss is 2.457, scene 3, click auc is 0.654, like auc is 0.689, follow auc is 0.718, 5s auc is 0.654, 10s auc is 0.666, 18s auc is 0.685
Epoch 7 val loss is 2.457, scene 4, click auc is 0.612, like auc is 0.658, follow auc is 0.577, 5s auc is 0.607, 10s auc is 0.618, 18s auc is 0.618
Epoch 8 train loss is 2.445, total scene, click auc is 0.707, like auc is 0.712, follow auc is 0.747, 5s auc is 0.714, 10s auc is 0.713, 18s auc is 0.726
Epoch 8 val loss is 2.451, total scene, click auc is 0.703, like auc is 0.709, follow auc is 0.774, 5s auc is 0.710, 10s auc is 0.709, 18s auc is 0.722
Epoch 8 val loss is 2.445, scene 1, click auc is 0.545, like auc is 0.633, follow auc is 0.457, 5s auc is 0.547, 10s auc is 0.557, 18s auc is 0.584
Epoch 8 val loss is 2.445, scene 2, click auc is 0.633, like auc is 0.685, follow auc is 0.765, 5s auc is 0.623, 10s auc is 0.643, 18s auc is 0.669
Epoch 8 val loss is 2.445, scene 3, click auc is 0.662, like auc is 0.699, follow auc is 0.737, 5s auc is 0.662, 10s auc is 0.675, 18s auc is 0.693
Epoch 8 val loss is 2.445, scene 4, click auc is 0.620, like auc is 0.657, follow auc is 0.602, 5s auc is 0.616, 10s auc is 0.627, 18s auc is 0.627
Epoch 9 train loss is 2.433, total scene, click auc is 0.712, like auc is 0.717, follow auc is 0.756, 5s auc is 0.719, 10s auc is 0.719, 18s auc is 0.731
Epoch 9 val loss is 2.442, total scene, click auc is 0.707, like auc is 0.715, follow auc is 0.786, 5s auc is 0.714, 10s auc is 0.713, 18s auc is 0.727
Epoch 9 val loss is 2.433, scene 1, click auc is 0.553, like auc is 0.631, follow auc is 0.428, 5s auc is 0.556, 10s auc is 0.566, 18s auc is 0.592
Epoch 9 val loss is 2.433, scene 2, click auc is 0.640, like auc is 0.693, follow auc is 0.780, 5s auc is 0.628, 10s auc is 0.648, 18s auc is 0.675
Epoch 9 val loss is 2.433, scene 3, click auc is 0.667, like auc is 0.706, follow auc is 0.742, 5s auc is 0.667, 10s auc is 0.681, 18s auc is 0.700
Epoch 9 val loss is 2.433, scene 4, click auc is 0.626, like auc is 0.663, follow auc is 0.628, 5s auc is 0.622, 10s auc is 0.632, 18s auc is 0.632
Epoch 10 train loss is 2.421, total scene, click auc is 0.717, like auc is 0.722, follow auc is 0.766, 5s auc is 0.724, 10s auc is 0.724, 18s auc is 0.736
Epoch 10 val loss is 2.437, total scene, click auc is 0.710, like auc is 0.719, follow auc is 0.789, 5s auc is 0.717, 10s auc is 0.715, 18s auc is 0.729
Epoch 10 val loss is 2.421, scene 1, click auc is 0.559, like auc is 0.640, follow auc is 0.650, 5s auc is 0.565, 10s auc is 0.573, 18s auc is 0.602
Epoch 10 val loss is 2.421, scene 2, click auc is 0.643, like auc is 0.697, follow auc is 0.783, 5s auc is 0.632, 10s auc is 0.650, 18s auc is 0.678
Epoch 10 val loss is 2.421, scene 3, click auc is 0.670, like auc is 0.704, follow auc is 0.740, 5s auc is 0.670, 10s auc is 0.681, 18s auc is 0.703
Epoch 10 val loss is 2.421, scene 4, click auc is 0.632, like auc is 0.673, follow auc is 0.634, 5s auc is 0.627, 10s auc is 0.635, 18s auc is 0.635
Epoch 11 train loss is 2.409, total scene, click auc is 0.722, like auc is 0.727, follow auc is 0.772, 5s auc is 0.729, 10s auc is 0.728, 18s auc is 0.741
Epoch 11 val loss is 2.426, total scene, click auc is 0.715, like auc is 0.723, follow auc is 0.802, 5s auc is 0.721, 10s auc is 0.721, 18s auc is 0.735
Epoch 11 val loss is 2.409, scene 1, click auc is 0.565, like auc is 0.649, follow auc is 0.600, 5s auc is 0.570, 10s auc is 0.580, 18s auc is 0.608
Epoch 11 val loss is 2.409, scene 2, click auc is 0.650, like auc is 0.703, follow auc is 0.798, 5s auc is 0.638, 10s auc is 0.658, 18s auc is 0.685
Epoch 11 val loss is 2.409, scene 3, click auc is 0.678, like auc is 0.718, follow auc is 0.751, 5s auc is 0.678, 10s auc is 0.693, 18s auc is 0.711
Epoch 11 val loss is 2.409, scene 4, click auc is 0.638, like auc is 0.671, follow auc is 0.663, 5s auc is 0.632, 10s auc is 0.642, 18s auc is 0.642
Epoch 12 train loss is 2.397, total scene, click auc is 0.727, like auc is 0.732, follow auc is 0.777, 5s auc is 0.733, 10s auc is 0.733, 18s auc is 0.746
Epoch 12 val loss is 2.418, total scene, click auc is 0.718, like auc is 0.723, follow auc is 0.802, 5s auc is 0.724, 10s auc is 0.724, 18s auc is 0.738
Epoch 12 val loss is 2.397, scene 1, click auc is 0.570, like auc is 0.664, follow auc is 0.694, 5s auc is 0.574, 10s auc is 0.585, 18s auc is 0.608
Epoch 12 val loss is 2.397, scene 2, click auc is 0.654, like auc is 0.701, follow auc is 0.798, 5s auc is 0.642, 10s auc is 0.662, 18s auc is 0.689
Epoch 12 val loss is 2.397, scene 3, click auc is 0.681, like auc is 0.696, follow auc is 0.743, 5s auc is 0.682, 10s auc is 0.697, 18s auc is 0.716
Epoch 12 val loss is 2.397, scene 4, click auc is 0.645, like auc is 0.680, follow auc is 0.662, 5s auc is 0.641, 10s auc is 0.650, 18s auc is 0.650
Epoch 13 train loss is 2.385, total scene, click auc is 0.731, like auc is 0.737, follow auc is 0.785, 5s auc is 0.738, 10s auc is 0.737, 18s auc is 0.750
Epoch 13 val loss is 2.408, total scene, click auc is 0.722, like auc is 0.730, follow auc is 0.811, 5s auc is 0.728, 10s auc is 0.728, 18s auc is 0.741
Epoch 13 val loss is 2.385, scene 1, click auc is 0.577, like auc is 0.650, follow auc is 0.636, 5s auc is 0.585, 10s auc is 0.593, 18s auc is 0.615
Epoch 13 val loss is 2.385, scene 2, click auc is 0.659, like auc is 0.710, follow auc is 0.802, 5s auc is 0.648, 10s auc is 0.667, 18s auc is 0.693
Epoch 13 val loss is 2.385, scene 3, click auc is 0.686, like auc is 0.719, follow auc is 0.759, 5s auc is 0.687, 10s auc is 0.702, 18s auc is 0.719
Epoch 13 val loss is 2.385, scene 4, click auc is 0.650, like auc is 0.682, follow auc is 0.694, 5s auc is 0.646, 10s auc is 0.655, 18s auc is 0.655
Epoch 14 train loss is 2.375, total scene, click auc is 0.736, like auc is 0.741, follow auc is 0.786, 5s auc is 0.742, 10s auc is 0.741, 18s auc is 0.754
Epoch 14 val loss is 2.399, total scene, click auc is 0.726, like auc is 0.736, follow auc is 0.809, 5s auc is 0.732, 10s auc is 0.731, 18s auc is 0.745
Epoch 14 val loss is 2.375, scene 1, click auc is 0.580, like auc is 0.672, follow auc is 0.796, 5s auc is 0.587, 10s auc is 0.595, 18s auc is 0.619
Epoch 14 val loss is 2.375, scene 2, click auc is 0.664, like auc is 0.717, follow auc is 0.803, 5s auc is 0.653, 10s auc is 0.671, 18s auc is 0.697
Epoch 14 val loss is 2.375, scene 3, click auc is 0.692, like auc is 0.727, follow auc is 0.755, 5s auc is 0.694, 10s auc is 0.708, 18s auc is 0.725
Epoch 14 val loss is 2.375, scene 4, click auc is 0.655, like auc is 0.685, follow auc is 0.663, 5s auc is 0.652, 10s auc is 0.660, 18s auc is 0.660
Epoch 15 train loss is 2.363, total scene, click auc is 0.740, like auc is 0.745, follow auc is 0.796, 5s auc is 0.746, 10s auc is 0.745, 18s auc is 0.758
Epoch 15 val loss is 2.390, total scene, click auc is 0.729, like auc is 0.738, follow auc is 0.816, 5s auc is 0.736, 10s auc is 0.734, 18s auc is 0.748
Epoch 15 val loss is 2.363, scene 1, click auc is 0.588, like auc is 0.674, follow auc is 0.753, 5s auc is 0.595, 10s auc is 0.605, 18s auc is 0.631
Epoch 15 val loss is 2.363, scene 2, click auc is 0.668, like auc is 0.719, follow auc is 0.811, 5s auc is 0.658, 10s auc is 0.675, 18s auc is 0.701
Epoch 15 val loss is 2.363, scene 3, click auc is 0.694, like auc is 0.718, follow auc is 0.756, 5s auc is 0.697, 10s auc is 0.710, 18s auc is 0.727
Epoch 15 val loss is 2.363, scene 4, click auc is 0.661, like auc is 0.689, follow auc is 0.702, 5s auc is 0.657, 10s auc is 0.664, 18s auc is 0.664
Epoch 16 train loss is 2.353, total scene, click auc is 0.743, like auc is 0.749, follow auc is 0.799, 5s auc is 0.749, 10s auc is 0.749, 18s auc is 0.761
Epoch 16 val loss is 2.383, total scene, click auc is 0.732, like auc is 0.742, follow auc is 0.818, 5s auc is 0.738, 10s auc is 0.737, 18s auc is 0.751
Epoch 16 val loss is 2.353, scene 1, click auc is 0.592, like auc is 0.679, follow auc is 0.764, 5s auc is 0.601, 10s auc is 0.610, 18s auc is 0.634
Epoch 16 val loss is 2.353, scene 2, click auc is 0.672, like auc is 0.723, follow auc is 0.812, 5s auc is 0.661, 10s auc is 0.679, 18s auc is 0.705
Epoch 16 val loss is 2.353, scene 3, click auc is 0.697, like auc is 0.735, follow auc is 0.774, 5s auc is 0.700, 10s auc is 0.713, 18s auc is 0.730
Epoch 16 val loss is 2.353, scene 4, click auc is 0.665, like auc is 0.686, follow auc is 0.684, 5s auc is 0.659, 10s auc is 0.668, 18s auc is 0.668
Epoch 17 train loss is 2.342, total scene, click auc is 0.747, like auc is 0.754, follow auc is 0.799, 5s auc is 0.753, 10s auc is 0.752, 18s auc is 0.765
Epoch 17 val loss is 2.375, total scene, click auc is 0.735, like auc is 0.745, follow auc is 0.814, 5s auc is 0.741, 10s auc is 0.740, 18s auc is 0.754
Epoch 17 val loss is 2.342, scene 1, click auc is 0.596, like auc is 0.687, follow auc is 0.832, 5s auc is 0.606, 10s auc is 0.615, 18s auc is 0.639
Epoch 17 val loss is 2.342, scene 2, click auc is 0.676, like auc is 0.727, follow auc is 0.809, 5s auc is 0.665, 10s auc is 0.683, 18s auc is 0.708
Epoch 17 val loss is 2.342, scene 3, click auc is 0.699, like auc is 0.729, follow auc is 0.733, 5s auc is 0.703, 10s auc is 0.716, 18s auc is 0.735
Epoch 17 val loss is 2.342, scene 4, click auc is 0.668, like auc is 0.695, follow auc is 0.710, 5s auc is 0.663, 10s auc is 0.672, 18s auc is 0.672
Epoch 18 train loss is 2.332, total scene, click auc is 0.750, like auc is 0.757, follow auc is 0.805, 5s auc is 0.756, 10s auc is 0.755, 18s auc is 0.768
Epoch 18 val loss is 2.369, total scene, click auc is 0.738, like auc is 0.747, follow auc is 0.809, 5s auc is 0.744, 10s auc is 0.742, 18s auc is 0.756
Epoch 18 val loss is 2.332, scene 1, click auc is 0.601, like auc is 0.688, follow auc is 0.905, 5s auc is 0.610, 10s auc is 0.619, 18s auc is 0.641
Epoch 18 val loss is 2.332, scene 2, click auc is 0.679, like auc is 0.731, follow auc is 0.799, 5s auc is 0.669, 10s auc is 0.685, 18s auc is 0.711
Epoch 18 val loss is 2.332, scene 3, click auc is 0.703, like auc is 0.732, follow auc is 0.730, 5s auc is 0.707, 10s auc is 0.719, 18s auc is 0.736
Epoch 18 val loss is 2.332, scene 4, click auc is 0.673, like auc is 0.692, follow auc is 0.717, 5s auc is 0.668, 10s auc is 0.676, 18s auc is 0.676
Epoch 19 train loss is 2.323, total scene, click auc is 0.753, like auc is 0.761, follow auc is 0.809, 5s auc is 0.759, 10s auc is 0.758, 18s auc is 0.771
Epoch 19 val loss is 2.365, total scene, click auc is 0.739, like auc is 0.750, follow auc is 0.820, 5s auc is 0.746, 10s auc is 0.744, 18s auc is 0.757
Epoch 19 val loss is 2.323, scene 1, click auc is 0.605, like auc is 0.689, follow auc is 0.804, 5s auc is 0.612, 10s auc is 0.621, 18s auc is 0.642
Epoch 19 val loss is 2.323, scene 2, click auc is 0.681, like auc is 0.734, follow auc is 0.814, 5s auc is 0.671, 10s auc is 0.687, 18s auc is 0.713
Epoch 19 val loss is 2.323, scene 3, click auc is 0.705, like auc is 0.737, follow auc is 0.758, 5s auc is 0.709, 10s auc is 0.723, 18s auc is 0.740
Epoch 19 val loss is 2.323, scene 4, click auc is 0.674, like auc is 0.693, follow auc is 0.745, 5s auc is 0.671, 10s auc is 0.678, 18s auc is 0.678
Epoch 20 train loss is 2.313, total scene, click auc is 0.756, like auc is 0.764, follow auc is 0.811, 5s auc is 0.762, 10s auc is 0.761, 18s auc is 0.773
Epoch 20 val loss is 2.356, total scene, click auc is 0.742, like auc is 0.753, follow auc is 0.815, 5s auc is 0.748, 10s auc is 0.747, 18s auc is 0.760
Epoch 20 val loss is 2.313, scene 1, click auc is 0.610, like auc is 0.708, follow auc is 0.734, 5s auc is 0.620, 10s auc is 0.629, 18s auc is 0.651
Epoch 20 val loss is 2.313, scene 2, click auc is 0.686, like auc is 0.736, follow auc is 0.809, 5s auc is 0.675, 10s auc is 0.691, 18s auc is 0.716
Epoch 20 val loss is 2.313, scene 3, click auc is 0.708, like auc is 0.745, follow auc is 0.746, 5s auc is 0.710, 10s auc is 0.725, 18s auc is 0.741
Epoch 20 val loss is 2.313, scene 4, click auc is 0.679, like auc is 0.699, follow auc is 0.771, 5s auc is 0.673, 10s auc is 0.681, 18s auc is 0.681
Epoch 21 train loss is 2.305, total scene, click auc is 0.759, like auc is 0.767, follow auc is 0.814, 5s auc is 0.764, 10s auc is 0.764, 18s auc is 0.776
Epoch 21 val loss is 2.350, total scene, click auc is 0.744, like auc is 0.757, follow auc is 0.822, 5s auc is 0.750, 10s auc is 0.749, 18s auc is 0.762
Epoch 21 val loss is 2.305, scene 1, click auc is 0.615, like auc is 0.704, follow auc is 0.828, 5s auc is 0.626, 10s auc is 0.634, 18s auc is 0.657
Epoch 21 val loss is 2.305, scene 2, click auc is 0.688, like auc is 0.740, follow auc is 0.812, 5s auc is 0.678, 10s auc is 0.694, 18s auc is 0.719
Epoch 21 val loss is 2.305, scene 3, click auc is 0.711, like auc is 0.747, follow auc is 0.755, 5s auc is 0.714, 10s auc is 0.728, 18s auc is 0.745
Epoch 21 val loss is 2.305, scene 4, click auc is 0.682, like auc is 0.703, follow auc is 0.759, 5s auc is 0.677, 10s auc is 0.685, 18s auc is 0.685
Epoch 22 train loss is 2.297, total scene, click auc is 0.761, like auc is 0.770, follow auc is 0.815, 5s auc is 0.767, 10s auc is 0.766, 18s auc is 0.778
Epoch 22 val loss is 2.348, total scene, click auc is 0.746, like auc is 0.759, follow auc is 0.824, 5s auc is 0.752, 10s auc is 0.750, 18s auc is 0.764
