nohup: 忽略输入
2025-01-12 12:26:25.049692: I tensorflow/core/util/port.cc:110] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-12 12:26:25.099338: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-01-12 12:26:25.860171: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Namespace(add_num_times=2, alpha=0.4, anneal_cap=0.2, bert_mask_prob=0.3, best_metric='NDCG@10', block_num=2, cand_num=100, ch=True, context_window=2, dataset_path='data/KuaiRand/kuai.csv', decay_step=5, device='cpu', dilations=[1, 4], dropout=0.3, early_stop=True, embedding_size=32, epochs=100, eval=True, factor_num=128, gamma=0.5, hidden_size=128, hidden_size_list=[128, 128], init_method='default', is_mp=False, is_parallel=False, is_pretrain=1, item_min=10, k=20, kd=False, kernel_size=3, l2_emb=0.0, latent_dim=128, lifelong_eval=True, ll_max_itemnum=0, local_rank=None, loss_type='BPR', lr=0.0001, max_len=20, mess_dropout=0.1, metric_ks=[5, 20], model_name='mmoe', mtl_task_num=6, negsample_savefolder='./data/neg_data/', negsample_size=99, node_dropout=0.1, num_embedding=1, num_gpu=1, num_groups=4, num_heads=4, num_items=1, num_labels=1, num_ng=4, num_users=1, optimizer='default', pad_token=0, pretrain_path='', prun_rate=0, re_epochs=20, reg_1=0.0, reg_2=0.0, rho=0.5, sample='random', sample_method='high-pop', sample_ratio=0.3, save_path='./checkpoint/', seed=100, source_path='', target_path='', task=-1, task1_out=0, task2_out=0, task3_out=0, task4_out=0, task_name='mtl', task_num=4, temp=7, test_batch_size=4096, test_method='ufo', test_size=0.1, total_anneal_steps=1000, train_batch_size=4096, user_profile='gender', val_batch_size=4096, val_method='ufo', val_size=0.1111, valid_rate=100, weight_decay=0.0)
digit_columns: ['show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  6.15it/s] 50%|█████     | 2/4 [00:00<00:00,  6.27it/s] 75%|███████▌  | 3/4 [00:00<00:00,  6.43it/s]100%|██████████| 4/4 [00:00<00:00,  6.55it/s]100%|██████████| 4/4 [00:00<00:00,  6.46it/s]
categorical_columns: ['user_id', 'video_id', 'follow_user_num_range', 'tab', 'fans_user_num_range', 'friend_user_num_range', 'author_id', 'video_type', 'music_type', 'show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/13 [00:00<?, ?it/s] 15%|█▌        | 2/13 [00:00<00:01, 10.26it/s] 31%|███       | 4/13 [00:00<00:01,  8.52it/s] 38%|███▊      | 5/13 [00:00<00:01,  7.17it/s] 46%|████▌     | 6/13 [00:00<00:01,  6.60it/s] 54%|█████▍    | 7/13 [00:00<00:00,  6.68it/s] 62%|██████▏   | 8/13 [00:01<00:00,  6.21it/s] 77%|███████▋  | 10/13 [00:01<00:00,  8.54it/s] 92%|█████████▏| 12/13 [00:01<00:00, 10.35it/s]100%|██████████| 13/13 [00:01<00:00,  8.72it/s]
0it [00:00, ?it/s]19it [00:00, 199.36it/s]
Epoch 1 train loss is 4.179, total scene, click auc is 0.586, like auc is 0.502, follow auc is 0.504, 5s auc is 0.592, 10s auc is 0.575, 18s auc is 0.565
Epoch 4 val loss is 2.554, scene 4, click auc is 0.559, like auc is 0.568, follow auc is 0.465, 5s auc is 0.548, 10s auc is 0.544, 18s auc is 0.544
Epoch 5 train loss is 2.543, total scene, click auc is 0.661, like auc is 0.644, follow auc is 0.581, 5s auc is 0.666, 10s auc is 0.659, 18s auc is 0.664
Epoch 5 val loss is 2.537, total scene, click auc is 0.662, like auc is 0.640, follow auc is 0.655, 5s auc is 0.668, 10s auc is 0.661, 18s auc is 0.666
Epoch 5 val loss is 2.543, scene 1, click auc is 0.505, like auc is 0.526, follow auc is 0.291, 5s auc is 0.513, 10s auc is 0.520, 18s auc is 0.556
Epoch 5 val loss is 2.543, scene 2, click auc is 0.579, like auc is 0.609, follow auc is 0.632, 5s auc is 0.567, 10s auc is 0.583, 18s auc is 0.599
Epoch 5 val loss is 2.543, scene 3, click auc is 0.596, like auc is 0.584, follow auc is 0.677, 5s auc is 0.584, 10s auc is 0.590, 18s auc is 0.613
Epoch 5 val loss is 2.543, scene 4, click auc is 0.562, like auc is 0.579, follow auc is 0.463, 5s auc is 0.552, 10s auc is 0.548, 18s auc is 0.548
Epoch 6 train loss is 2.533, total scene, click auc is 0.665, like auc is 0.651, follow auc is 0.625, 5s auc is 0.670, 10s auc is 0.664, 18s auc is 0.669
Epoch 6 val loss is 2.530, total scene, click auc is 0.664, like auc is 0.644, follow auc is 0.679, 5s auc is 0.670, 10s auc is 0.665, 18s auc is 0.670
Epoch 6 val loss is 2.533, scene 1, click auc is 0.503, like auc is 0.529, follow auc is 0.250, 5s auc is 0.517, 10s auc is 0.520, 18s auc is 0.560
Epoch 6 val loss is 2.533, scene 2, click auc is 0.582, like auc is 0.614, follow auc is 0.660, 5s auc is 0.570, 10s auc is 0.587, 18s auc is 0.604
Epoch 6 val loss is 2.533, scene 3, click auc is 0.598, like auc is 0.581, follow auc is 0.686, 5s auc is 0.587, 10s auc is 0.593, 18s auc is 0.616
Epoch 6 val loss is 2.533, scene 4, click auc is 0.565, like auc is 0.588, follow auc is 0.464, 5s auc is 0.557, 10s auc is 0.552, 18s auc is 0.552
Epoch 7 train loss is 2.527, total scene, click auc is 0.668, like auc is 0.655, follow auc is 0.656, 5s auc is 0.673, 10s auc is 0.668, 18s auc is 0.674
Epoch 7 val loss is 2.524, total scene, click auc is 0.667, like auc is 0.649, follow auc is 0.697, 5s auc is 0.673, 10s auc is 0.668, 18s auc is 0.674
Epoch 7 val loss is 2.527, scene 1, click auc is 0.503, like auc is 0.525, follow auc is 0.229, 5s auc is 0.516, 10s auc is 0.523, 18s auc is 0.559
Epoch 7 val loss is 2.527, scene 2, click auc is 0.586, like auc is 0.619, follow auc is 0.682, 5s auc is 0.574, 10s auc is 0.592, 18s auc is 0.609
Epoch 7 val loss is 2.527, scene 3, click auc is 0.603, like auc is 0.587, follow auc is 0.690, 5s auc is 0.592, 10s auc is 0.595, 18s auc is 0.618
Epoch 7 val loss is 2.527, scene 4, click auc is 0.569, like auc is 0.592, follow auc is 0.468, 5s auc is 0.561, 10s auc is 0.557, 18s auc is 0.557
Epoch 8 train loss is 2.521, total scene, click auc is 0.671, like auc is 0.658, follow auc is 0.678, 5s auc is 0.676, 10s auc is 0.672, 18s auc is 0.678
Epoch 8 val loss is 2.519, total scene, click auc is 0.669, like auc is 0.651, follow auc is 0.706, 5s auc is 0.675, 10s auc is 0.671, 18s auc is 0.677
Epoch 8 val loss is 2.521, scene 1, click auc is 0.503, like auc is 0.527, follow auc is 0.220, 5s auc is 0.518, 10s auc is 0.524, 18s auc is 0.562
Epoch 8 val loss is 2.521, scene 2, click auc is 0.589, like auc is 0.621, follow auc is 0.694, 5s auc is 0.576, 10s auc is 0.595, 18s auc is 0.613
Epoch 8 val loss is 2.521, scene 3, click auc is 0.603, like auc is 0.585, follow auc is 0.692, 5s auc is 0.594, 10s auc is 0.599, 18s auc is 0.622
Epoch 8 val loss is 2.521, scene 4, click auc is 0.572, like auc is 0.593, follow auc is 0.473, 5s auc is 0.562, 10s auc is 0.560, 18s auc is 0.560
Epoch 9 train loss is 2.515, total scene, click auc is 0.673, like auc is 0.661, follow auc is 0.692, 5s auc is 0.679, 10s auc is 0.675, 18s auc is 0.682
Epoch 9 val loss is 2.515, total scene, click auc is 0.672, like auc is 0.651, follow auc is 0.713, 5s auc is 0.678, 10s auc is 0.674, 18s auc is 0.681
Epoch 9 val loss is 2.515, scene 1, click auc is 0.505, like auc is 0.528, follow auc is 0.227, 5s auc is 0.518, 10s auc is 0.527, 18s auc is 0.565
Epoch 9 val loss is 2.515, scene 2, click auc is 0.592, like auc is 0.620, follow auc is 0.703, 5s auc is 0.580, 10s auc is 0.599, 18s auc is 0.618
Epoch 9 val loss is 2.515, scene 3, click auc is 0.607, like auc is 0.585, follow auc is 0.694, 5s auc is 0.599, 10s auc is 0.603, 18s auc is 0.627
Epoch 9 val loss is 2.515, scene 4, click auc is 0.573, like auc is 0.604, follow auc is 0.484, 5s auc is 0.567, 10s auc is 0.566, 18s auc is 0.566
Epoch 10 train loss is 2.510, total scene, click auc is 0.676, like auc is 0.663, follow auc is 0.704, 5s auc is 0.682, 10s auc is 0.679, 18s auc is 0.686
Epoch 10 val loss is 2.511, total scene, click auc is 0.674, like auc is 0.654, follow auc is 0.717, 5s auc is 0.679, 10s auc is 0.676, 18s auc is 0.684
Epoch 10 val loss is 2.510, scene 1, click auc is 0.507, like auc is 0.534, follow auc is 0.223, 5s auc is 0.520, 10s auc is 0.529, 18s auc is 0.569
Epoch 10 val loss is 2.510, scene 2, click auc is 0.595, like auc is 0.623, follow auc is 0.706, 5s auc is 0.582, 10s auc is 0.602, 18s auc is 0.622
Epoch 10 val loss is 2.510, scene 3, click auc is 0.611, like auc is 0.592, follow auc is 0.691, 5s auc is 0.603, 10s auc is 0.607, 18s auc is 0.629
Epoch 10 val loss is 2.510, scene 4, click auc is 0.576, like auc is 0.602, follow auc is 0.498, 5s auc is 0.570, 10s auc is 0.570, 18s auc is 0.570
Epoch 11 train loss is 2.506, total scene, click auc is 0.678, like auc is 0.665, follow auc is 0.713, 5s auc is 0.684, 10s auc is 0.682, 18s auc is 0.689
Epoch 11 val loss is 2.507, total scene, click auc is 0.676, like auc is 0.657, follow auc is 0.719, 5s auc is 0.682, 10s auc is 0.679, 18s auc is 0.687
Epoch 11 val loss is 2.506, scene 1, click auc is 0.510, like auc is 0.528, follow auc is 0.214, 5s auc is 0.521, 10s auc is 0.530, 18s auc is 0.570
Epoch 11 val loss is 2.506, scene 2, click auc is 0.598, like auc is 0.627, follow auc is 0.709, 5s auc is 0.585, 10s auc is 0.606, 18s auc is 0.625
Epoch 11 val loss is 2.506, scene 3, click auc is 0.611, like auc is 0.588, follow auc is 0.685, 5s auc is 0.605, 10s auc is 0.610, 18s auc is 0.633
Epoch 11 val loss is 2.506, scene 4, click auc is 0.580, like auc is 0.608, follow auc is 0.518, 5s auc is 0.572, 10s auc is 0.573, 18s auc is 0.573
Epoch 12 train loss is 2.501, total scene, click auc is 0.680, like auc is 0.668, follow auc is 0.719, 5s auc is 0.687, 10s auc is 0.684, 18s auc is 0.693
Epoch 12 val loss is 2.504, total scene, click auc is 0.677, like auc is 0.656, follow auc is 0.722, 5s auc is 0.684, 10s auc is 0.681, 18s auc is 0.689
Epoch 12 val loss is 2.501, scene 1, click auc is 0.509, like auc is 0.524, follow auc is 0.209, 5s auc is 0.522, 10s auc is 0.532, 18s auc is 0.572
Epoch 12 val loss is 2.501, scene 2, click auc is 0.600, like auc is 0.626, follow auc is 0.713, 5s auc is 0.588, 10s auc is 0.609, 18s auc is 0.629
Epoch 12 val loss is 2.501, scene 3, click auc is 0.615, like auc is 0.595, follow auc is 0.681, 5s auc is 0.608, 10s auc is 0.612, 18s auc is 0.635
Epoch 12 val loss is 2.501, scene 4, click auc is 0.581, like auc is 0.605, follow auc is 0.534, 5s auc is 0.575, 10s auc is 0.577, 18s auc is 0.577
Epoch 13 train loss is 2.497, total scene, click auc is 0.683, like auc is 0.669, follow auc is 0.723, 5s auc is 0.689, 10s auc is 0.687, 18s auc is 0.696
Epoch 13 val loss is 2.500, total scene, click auc is 0.679, like auc is 0.658, follow auc is 0.723, 5s auc is 0.685, 10s auc is 0.684, 18s auc is 0.691
Epoch 13 val loss is 2.497, scene 1, click auc is 0.511, like auc is 0.530, follow auc is 0.226, 5s auc is 0.524, 10s auc is 0.533, 18s auc is 0.574
Epoch 13 val loss is 2.497, scene 2, click auc is 0.602, like auc is 0.628, follow auc is 0.714, 5s auc is 0.590, 10s auc is 0.611, 18s auc is 0.632
Epoch 13 val loss is 2.497, scene 3, click auc is 0.612, like auc is 0.599, follow auc is 0.678, 5s auc is 0.610, 10s auc is 0.615, 18s auc is 0.636
Epoch 13 val loss is 2.497, scene 4, click auc is 0.585, like auc is 0.613, follow auc is 0.553, 5s auc is 0.578, 10s auc is 0.582, 18s auc is 0.582
Epoch 14 train loss is 2.492, total scene, click auc is 0.685, like auc is 0.672, follow auc is 0.729, 5s auc is 0.691, 10s auc is 0.690, 18s auc is 0.699
Epoch 14 val loss is 2.497, total scene, click auc is 0.681, like auc is 0.659, follow auc is 0.726, 5s auc is 0.687, 10s auc is 0.686, 18s auc is 0.694
Epoch 14 val loss is 2.492, scene 1, click auc is 0.512, like auc is 0.530, follow auc is 0.229, 5s auc is 0.525, 10s auc is 0.535, 18s auc is 0.575
Epoch 14 val loss is 2.492, scene 2, click auc is 0.605, like auc is 0.628, follow auc is 0.717, 5s auc is 0.593, 10s auc is 0.614, 18s auc is 0.635
Epoch 14 val loss is 2.492, scene 3, click auc is 0.619, like auc is 0.604, follow auc is 0.680, 5s auc is 0.614, 10s auc is 0.620, 18s auc is 0.645
Epoch 14 val loss is 2.492, scene 4, click auc is 0.586, like auc is 0.611, follow auc is 0.568, 5s auc is 0.581, 10s auc is 0.585, 18s auc is 0.585
Epoch 15 train loss is 2.488, total scene, click auc is 0.687, like auc is 0.673, follow auc is 0.733, 5s auc is 0.693, 10s auc is 0.692, 18s auc is 0.702
Epoch 15 val loss is 2.493, total scene, click auc is 0.682, like auc is 0.662, follow auc is 0.728, 5s auc is 0.689, 10s auc is 0.688, 18s auc is 0.697
Epoch 15 val loss is 2.488, scene 1, click auc is 0.515, like auc is 0.527, follow auc is 0.223, 5s auc is 0.528, 10s auc is 0.538, 18s auc is 0.579
Epoch 15 val loss is 2.488, scene 2, click auc is 0.607, like auc is 0.633, follow auc is 0.718, 5s auc is 0.595, 10s auc is 0.617, 18s auc is 0.638
Epoch 15 val loss is 2.488, scene 3, click auc is 0.618, like auc is 0.602, follow auc is 0.677, 5s auc is 0.616, 10s auc is 0.621, 18s auc is 0.646
Epoch 15 val loss is 2.488, scene 4, click auc is 0.588, like auc is 0.613, follow auc is 0.594, 5s auc is 0.583, 10s auc is 0.587, 18s auc is 0.587
Epoch 16 train loss is 2.483, total scene, click auc is 0.689, like auc is 0.676, follow auc is 0.737, 5s auc is 0.695, 10s auc is 0.695, 18s auc is 0.705
Epoch 16 val loss is 2.490, total scene, click auc is 0.685, like auc is 0.662, follow auc is 0.728, 5s auc is 0.691, 10s auc is 0.690, 18s auc is 0.699
Epoch 16 val loss is 2.483, scene 1, click auc is 0.517, like auc is 0.535, follow auc is 0.217, 5s auc is 0.531, 10s auc is 0.540, 18s auc is 0.583
Epoch 16 val loss is 2.483, scene 2, click auc is 0.610, like auc is 0.633, follow auc is 0.718, 5s auc is 0.598, 10s auc is 0.620, 18s auc is 0.642
Epoch 16 val loss is 2.483, scene 3, click auc is 0.621, like auc is 0.606, follow auc is 0.670, 5s auc is 0.618, 10s auc is 0.624, 18s auc is 0.648
Epoch 16 val loss is 2.483, scene 4, click auc is 0.591, like auc is 0.612, follow auc is 0.596, 5s auc is 0.586, 10s auc is 0.591, 18s auc is 0.591
Epoch 17 train loss is 2.478, total scene, click auc is 0.692, like auc is 0.677, follow auc is 0.738, 5s auc is 0.698, 10s auc is 0.697, 18s auc is 0.708
Epoch 17 val loss is 2.486, total scene, click auc is 0.686, like auc is 0.663, follow auc is 0.731, 5s auc is 0.693, 10s auc is 0.692, 18s auc is 0.702
Epoch 17 val loss is 2.478, scene 1, click auc is 0.519, like auc is 0.530, follow auc is 0.232, 5s auc is 0.532, 10s auc is 0.541, 18s auc is 0.584
Epoch 17 val loss is 2.478, scene 2, click auc is 0.612, like auc is 0.633, follow auc is 0.719, 5s auc is 0.600, 10s auc is 0.622, 18s auc is 0.645
Epoch 17 val loss is 2.478, scene 3, click auc is 0.624, like auc is 0.606, follow auc is 0.670, 5s auc is 0.621, 10s auc is 0.628, 18s auc is 0.653
Epoch 17 val loss is 2.478, scene 4, click auc is 0.592, like auc is 0.620, follow auc is 0.626, 5s auc is 0.589, 10s auc is 0.593, 18s auc is 0.593
Epoch 18 train loss is 2.474, total scene, click auc is 0.694, like auc is 0.679, follow auc is 0.741, 5s auc is 0.700, 10s auc is 0.700, 18s auc is 0.710
Epoch 18 val loss is 2.483, total scene, click auc is 0.688, like auc is 0.666, follow auc is 0.731, 5s auc is 0.694, 10s auc is 0.694, 18s auc is 0.704
Epoch 18 val loss is 2.474, scene 1, click auc is 0.521, like auc is 0.529, follow auc is 0.276, 5s auc is 0.535, 10s auc is 0.546, 18s auc is 0.589
Epoch 18 val loss is 2.474, scene 2, click auc is 0.615, like auc is 0.638, follow auc is 0.720, 5s auc is 0.603, 10s auc is 0.625, 18s auc is 0.647
Epoch 18 val loss is 2.474, scene 3, click auc is 0.627, like auc is 0.602, follow auc is 0.664, 5s auc is 0.624, 10s auc is 0.629, 18s auc is 0.654
Epoch 18 val loss is 2.474, scene 4, click auc is 0.596, like auc is 0.619, follow auc is 0.634, 5s auc is 0.591, 10s auc is 0.598, 18s auc is 0.598
Epoch 19 train loss is 2.470, total scene, click auc is 0.696, like auc is 0.681, follow auc is 0.742, 5s auc is 0.702, 10s auc is 0.702, 18s auc is 0.713
Epoch 19 val loss is 2.479, total scene, click auc is 0.690, like auc is 0.667, follow auc is 0.732, 5s auc is 0.696, 10s auc is 0.696, 18s auc is 0.706
Epoch 19 val loss is 2.470, scene 1, click auc is 0.524, like auc is 0.533, follow auc is 0.275, 5s auc is 0.536, 10s auc is 0.550, 18s auc is 0.590
Epoch 19 val loss is 2.470, scene 2, click auc is 0.617, like auc is 0.639, follow auc is 0.718, 5s auc is 0.606, 10s auc is 0.627, 18s auc is 0.650
Epoch 19 val loss is 2.470, scene 3, click auc is 0.628, like auc is 0.615, follow auc is 0.665, 5s auc is 0.625, 10s auc is 0.632, 18s auc is 0.655
Epoch 19 val loss is 2.470, scene 4, click auc is 0.597, like auc is 0.618, follow auc is 0.661, 5s auc is 0.593, 10s auc is 0.600, 18s auc is 0.600
Epoch 20 train loss is 2.465, total scene, click auc is 0.698, like auc is 0.683, follow auc is 0.743, 5s auc is 0.704, 10s auc is 0.704, 18s auc is 0.716
Epoch 20 val loss is 2.475, total scene, click auc is 0.692, like auc is 0.670, follow auc is 0.731, 5s auc is 0.698, 10s auc is 0.698, 18s auc is 0.708
Epoch 20 val loss is 2.465, scene 1, click auc is 0.526, like auc is 0.538, follow auc is 0.334, 5s auc is 0.540, 10s auc is 0.553, 18s auc is 0.594
Epoch 20 val loss is 2.465, scene 2, click auc is 0.620, like auc is 0.642, follow auc is 0.716, 5s auc is 0.608, 10s auc is 0.630, 18s auc is 0.653
Epoch 20 val loss is 2.465, scene 3, click auc is 0.631, like auc is 0.619, follow auc is 0.669, 5s auc is 0.630, 10s auc is 0.636, 18s auc is 0.660
Epoch 20 val loss is 2.465, scene 4, click auc is 0.600, like auc is 0.630, follow auc is 0.665, 5s auc is 0.597, 10s auc is 0.603, 18s auc is 0.603
Epoch 21 train loss is 2.460, total scene, click auc is 0.700, like auc is 0.685, follow auc is 0.746, 5s auc is 0.706, 10s auc is 0.707, 18s auc is 0.718
Epoch 21 val loss is 2.472, total scene, click auc is 0.693, like auc is 0.668, follow auc is 0.732, 5s auc is 0.700, 10s auc is 0.700, 18s auc is 0.710
Epoch 21 val loss is 2.460, scene 1, click auc is 0.529, like auc is 0.543, follow auc is 0.263, 5s auc is 0.541, 10s auc is 0.554, 18s auc is 0.595
Epoch 21 val loss is 2.460, scene 2, click auc is 0.622, like auc is 0.640, follow auc is 0.717, 5s auc is 0.611, 10s auc is 0.633, 18s auc is 0.655
Epoch 21 val loss is 2.460, scene 3, click auc is 0.634, like auc is 0.610, follow auc is 0.665, 5s auc is 0.632, 10s auc is 0.639, 18s auc is 0.663
Epoch 21 val loss is 2.460, scene 4, click auc is 0.602, like auc is 0.626, follow auc is 0.677, 5s auc is 0.598, 10s auc is 0.605, 18s auc is 0.605
Epoch 22 train loss is 2.455, total scene, click auc is 0.703, like auc is 0.687, follow auc is 0.749, 5s auc is 0.709, 10s auc is 0.709, 18s auc is 0.721
Epoch 22 val loss is 2.468, total scene, click auc is 0.696, like auc is 0.673, follow auc is 0.735, 5s auc is 0.702, 10s auc is 0.702, 18s auc is 0.712
